Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer,Source,Explanation
"If rents are declining in office properties in a market, it is likely that",unemployment is decreasing,the market is in equilibrium,supply exceeds demand for space,demand exceeds supply of space,3,PREP-AL-P.24,
Highest and best use of a property is that use which,involves the highest permissible structure and yields the best income,"is economically feasible, and gives the developer the best return","is legal, physically and financially feasible, and most productive",complies with the area's master plan and is best for the community,3,PREP-AL-P.25,
A strength of the sales comparison approach to value is that,old as well as new sales data may be used in the adjustment process,the approach is based on the principle of substitution,"the approach is accurate with unique, special purpose properties","sale prices can be compared in a neighborhood, since all enjoy the same approximate rate of appreciation",2,PREP-AL-P.26,
"A major employer relocates, leaving many homes in an area vacant and unmaintained.  This is an example of",physical deterioration,functional obsolescence,incurable economic obsolescence,curable external obsolescence,3,PREP-AL-P.27,
Two important tasks in identifying value through the cost approach are,estimating the cost of the land and its accrued depreciation,estimating the value of the improvements and the obsolescence of the land,estimating the cost and depreciation of the land and improvements,estimating the cost of the land and the depreciation of the improvements,4,PREP-AL-P.28,
"In evaluating a loan application, a mortgage lender is most concerned about",the loan interest rate and loan term,the property location and the amount of the borrower's down payment,the applicant's financial capability and the value of the collateral,the applicant's credit history and background,3,PREP-AL-P.29,
Lenders use the loan-to-value ratio as a guideline in underwriting because,the property's value serves to measure the profitability of the loan,the loan amount needs to be less than the property's value,borrowers tend to inflate the true value of the property,a full-price loan overfinances the borrower,2,PREP-AL-P.30,
"In the past, borrowers were often surprised by unexpected financing costs and charges at closing.  This situation has been largely corrected through disclosure requirements mandated by which of the following laws?",Equal Credit Opportunity Act,Truth-in-Lending laws,National Disclosure Procedures Act,Federal Fair Housing Laws,2,PREP-AL-P.31,
An important function of the secondary mortgage market is to,borrow funds from banks so the banks can make more loans,issue tax certificates and sell them to primary lenders,purchase pools of defaulted loans from lenders to keep them solvent,sell mortgage-backed securities in order to buy pools of loans,4,PREP-AL-P.32,
The Veteran's Administration assists numerous qualified mortgage loan applicants because it,guarantees loans made by approved lenders,insures loans made by approved lenders,purchases loans made by approved lenders,originates loans made by approved lenders,1,PREP-AL-P.33,
"A $300,000 loan has monthly payments of $2,000.  Its annual interest rate is:",4%,6%,8%,10%,3,PREP-AL-P.34,
"A lender determines that a homebuyer can afford to borrow $120,000 on a mortgage loan.  The lender requires an 80% loan-to-value ratio.  How much can the borrower pay for a property and still qualify for this loan amount?","$96,000","$106,000","$150,000","$160,000",3,PREP-AL-P.35,
"A borrower grosses $4,000 per month and pays $600 monthly for debt obligations.  What monthly payment for housing expenses (principal, interest, taxes, insurance) can this person afford based on an FHA debt ratio of 41%?",$760,"$1,394","$1,040","$1,404",3,PREP-AL-P.36,
"What is meant by ""opportunity cost"" when speaking of real estate as an investment?",The financing charge associated with borrowing money to invest in real estate,The return an investor could reasonably expect to earn from competing investments,The full cost of acquiring an investment property,The financial risk of the investment,2,PREP-AL-P.37,
